"28";"Repni stabilizatori nekih helikoptera imaju zakrivljenu jednu stranu da bi:";"Proizveli bočnu silu koja potpomaže repni rotor.";"Neutralisali vučnu silu repnog rotora na velikim brzinama.";"Pomogli u smanjenju zanošenja repnog rotora.";"Poboljšali stabilnost na malim brzinama.";"a";"Teorija letenja"
"29";"Za lopaticu glavnog rotora koji se okreće suprotno od kazaljke na satu, kada se posmatra odozgo, pomeranje ciklične palice u desnu stranu stvara maksimalni postavni ugao kada je lopatica: (Slika PPL(H) TL – 12)";"U krajnjoj zadnjoj poziciji.";"Na nadolazećoj strani.";"Na odlazećoj strani. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Teorija letenja";"U krajnjoj prednjo poziciji.";"a";"Teorija letenja"
"30";"Repni rotor kompenzuje efekat obrtnog momenta glavnog rotora oko:";"Vertikalne ose.";"Horizontalne ose.";"Poprečne ose.";"Prednje i zadnje ose.";"a";"Teorija letenja"
"31";"Za održavanje stalne visine, kursa i brzine helikoptera u progresivnom letu, raspored sila je sledeći: (Slika PPL(H) TL – 13)";"Uzgon, jednak i suprotan masi. Horizontalna komponenta vučne sile suprotna i jednaka otporu. Stabilizator proizvodi negativni uzgon.";"Uzgon jednak i suprotan masi. Horizontalna komponenta vučne sile suprotna, ali veća od otpora, stabilizator proizvodi pozitivni uzgon.";"Ukupna vučna sila rotora deluje suprotno masi. Horizontalna komponenta vučne sile koja deluje napred, jednaka otporu. Stabilizator proizvodi negativni uzgon.";"Uzgon suprotan ali veći od mase. Horizontalna komponenta potiska jednaka i suprotna otporu, stabilizator proizvodi pozitivni uzgon.";"a";"Teorija letenja"
"32";"Sila otpora lopatice glavnog rotora se kompenzuje:";"Snagom motora.";"„Mahanjem” lopatice.";"Efektom kašnjenja (usporavanja) lopatice.";"Efektom promena postavnog ugla.";"a";"Teorija letenja"
"33";"Kada se kolektivna palica pomeri na gore, upravljačka ploča (zvezda) glavčine rotora se takoñe pomera na gore, što dovodi do:";"Podjednakog povećanja ugla lopatica i povećanja ukupne vučne sile rotora.";"Povećanja uzgona koji zavisi od položaja lopatice u odnosu na upravljačku zvezdu.";"Povećanja ugla lopatica koji će menjati pravac dejstva ukupne vučne sile rotora.";"Povećanja postavnog ugla odlazeće lopatice i smanjenja istog kod prednje lopatice.";"a";"Teorija letenja"
"34";"Recirkulacija (povijanje na gore) vazdušnih strujnica je moguća samo:";"Na velikoj brzini leta, stvara se na korenu odlazeće lopatice.";"U vrtložnom prstenu, stvara se na vrhu nadolazeće lopatice.";"U autorotaciji, stvara se na korenu odlazeće lopatice.";"U autorotaciji, stvara se na vrhu odlazeće lopatice.";"a";"Teorija letenja"
"35";"Da bi otklonio efekte sloma uzgona odlazeće lopatice u letu, pilot bi trebao da:";"Smanji kolektivni korak i progresivnu brzinu.";"Poveća kolektivni korak da bi povećao napadni ugao.";"Potisne cikličnu palicu napred kako bi povećao progresivnu brzinu.";"Odmah smanji snagu i poveća kolektivni korak kako bi smanjio brzinu. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Teorija letenja";"a";"Teorija letenja"
"36";"Kuglica pokazivača klizanja i skretanja:";"Ne zahteva napajanje za rad i pokazivanje klizanja ili uravnoteženih skretanja.";"Zahteva isključivanje šine glavnog napajanja i pokazuje pravilno uravnotežena skretanja.";"Zahteva napajanje sa akumulatora i pokazivaće unutrašnje ili vanjsko klizanje.";"Ne zahteva napajanje sa vazduhoplova i pokazivaće pravilno uravnotežena skretanja.";"a";"Teorija letenja"
"37";"Na direkcionalu žiroskopa koji radi pod normalnim uslovima leta može da doñe do otklona. Koji stepen otklona se smatra prihvatljivim? 30";"na svakih 15 minuta.";"150 na sat.";"0.30 svakih 15 minuta.";"1.50 na sat.";"a";"Teorija letenja"
"38";"Prilikom otkaza motora u letu:";"Ureñaj za samoobrtanje odvaja rotor od motora.";"Sile autorotacije brzo obnavljaju broj obrtaja rotora.";"Broj obrtaja rotora se obnavlja u prestrujavanju.";"Helikopter će imati laganu tendenciju skretanja u smeru suprotnom smeru okretanja rotora.";"a";"Teorija letenja"
"39";"Prilikom povećanja opterećenja diska rotora, pod odreñenim okolnostima, npr. u toku ravnanja u prilazu, ukupni reaktivni momenat može da se približi osi obrtanja, što može da rezultuje:";"Padom obrtnog momenta rotora.";"Smanjenjem ugla konusa.";"Povećanjem obrtnog momenta rotora.";"Povećanjem otpora rotora.";"a";"Teorija letenja"
"40";"Razmatrajući helikopter u autorotaciji, koja je od sledećih izjava ispravna? (Slika PPL(H) TL – 14)";"Ako je helikopter u autorotaciji sa progresivnom brzinom, ugao promene pravca vazdušnih strujnica će se smanjiti, kao i postavni ugao.";"Ako je helikopter u autorotaciji sa progresivnom brzinom, napadni ugao lopatice se povećava a napadni ugao rotora smanjuje.";"Ako je helikopter u vertikalnoj autorotaciji, napadni ugao rotora se smanjuje, a samim tim i postavni ugao.";"";"a";"Teorija letenja"
"41";"Pod pretpostavkom da se otkaz motora dešava u lebdenju, koji je od sledećih navoda ispravan?";"Sila autorotacije će stvoriti broj obrtaja rotora i potisak rotora jednak masi helikoptera, a zatim će se helikopter spuštati konstantnom brzinom.";"Vektorska veličina silaženja je jednaka napadnom uglu.";"Dok je sila autorotacije jednaka masi helikoptera, helikopter će ubrzavati na dole, a zatim će se ubrzanje smanjiti. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Teorija letenja";"Ukoliko se iz bilo kog razloga napadni ugao treba povećati, tada će biti naglog porasta veličine snižavanja.";"a";"Teorija letenja"
"42";"S obzirom na zanošenje zbog vučne sile repnog rotora kod helikoptera čiji se glavni rotor obrće u smeru kazaljke na satu, koja od sledećih izjava je ispravna? (Slika PPL(H) TL – 8)";"Helikopter teži da se zanosi u pravcu vučne sile repnog rotora.";"Helikopter ima tendenciju da se obrće u smeru obrtnog momenta glavnog rotora, tj. suprotno smeru obrtanja kazaljke na satu.";"Kada je pod uticajem zemaljskog efekta, helikopter ima tendenciju da se zanosi na desnu stranu.";"Zbog uravnoteženja vučne sile repnog rotora, helikopter je u lebdenju malo nagnut u desnu stranu.";"a";"Teorija letenja"
"43";"Prilikom lebdenja sa uticajem zemlje (IGE), smatra se da se područje visokog pritiska ispod helikoptera proširuje do: (Slika PPL(H) TL – 15)";"¾ prečnika diska glavnog rotora.";"½ prečnika diska glavnog rotora.";"Visina je jednaka udaljenosti od glavčine glavnog rotora do repnog rotora.";"¼ prečnika diska glavnog rotora.";"a";"Teorija letenja"
"44";"Ugradnja repnog stabilizatora na pojedinim helikopterima ima sledeći efekat:";"Ograničava propinjanje trupa i naginjanje diska rotora u nazad pri udarima vetra.";"Poboljšava efikasnost upravljanja po pravcu, posebno pri malim brzinama leta.";"Ograničava skretanje sa pravca kod udara vetra.";"Omogućava pilotu poboljšano upravljanje, naročito ake se trup obara na dole";"a";"Teorija letenja"
"45";"Do zaleñivanja karburatora može da doñe u sledećim uslovima:";"U vlažnom vazduhu, gde temperatura opada u karburatoru zbog adijabatskog širenja.";"Samo u oblaku, iznad nivoa zamrzavanje i u spuštanju sa malom podešenom snagom.";"Samo kada je spoljna temperatura ispod tačke zamrzavanja.";"Zaleñivanje je povećano kada se leti sa punim otvorenim ventilom u vlažnom vazduhu bez padavina i magle.";"a";"Teorija letenja"
"46";"Ako pregori zaštitni osigurač pojedinačnog kola, pilot bi trebalo da:";"Sačeka najmanje 2 minuta pre nego što ponovo postavi odgovarajućih prekidača ili da zameni osigurač.";"Odmah resetuje prekidač odgovarajućeg kola.";"Odmah izoluje (isključi) sve električne potrošače odgovarajućeg osigurača. Ne menjati osigurače u letu.";"Samo resetuje prekidač kola ako su električni ureñaji od vitalnog značaja za bezbednost letenja. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Teorija letenja";"a";"Teorija letenja"
"47";"Oštri ugao izmeñu ravni obrtanja rotora i tetive aeroprofila lopatice rotora se naziva: (Slika PPL(H) TL – 2)";"Postavni ugao.";"Napadni ugao.";"Ugao konusa.";"Napadni ugao rotora.";"a";"Teorija letenja"
"48";"Kada je helikopter u horizontalnom letu, relativni protok vazduha je: (Slika PPL(H) TL-16)";"Kombinacija rotacije lopatica rotora i kretanja helikoptera.";"Strujanje vetra preko lopatica.";"Protok prouzrokovan kretanjem lopatica rotora kroz vazduh.";"Kombinacija vetra i kretanja lopatica rotora kroz vazduh.";"a";"Teorija letenja"
"49";"Postavni ugao se odreñuje na osnovu:";"Položaja odgovarajuće upravljačke komande u kabini (kolektivna i ciklična palica).";"Smera protoka relativnog vazduha.";"Samo cikličnog koraka.";"To zavisi od napadnog ugla.";"a";"Teorija letenja"
"50";"Tokom progresivnog leta napred napadni ugao je veći od postavnog ugla: (Slika PPL(H) TL – 12)";"Kod odlazeće lopatice.";"Kod nadolazeće lopatice.";"U maksimalnom prednjem položaju lopatice.";"U maksimalnom zadnjem položaju lopatice.";"a";"Teorija letenja"
"51";"Otpor je izraz koji se koristi za silu koja teži da se odupre kretanju aeroprofila kroz vazduh. Deluje:";"Paralelno i u suprotnom smeru od kretanja aeroprofila.";"Paralelno i u suprotnom smeru u odnosu na relativno strujanje vazduha.";"Paralelno i u istom pravcu kao i kretanje aeroprofila.";"Paralelno i u istom pravcu kao i sila uzgona.";"a";"Teorija letenja"
"52";"Uzgon i otpor se menjaju zavisno od gustine vazduha na sledeći način:";"Kako se gustina vazduha smanjuje, uzgon i otpor se smanjuju.";"Kako se gustina vazduha povećava, uzgon i otpor se smanjuju.";"Kako se gustina vazduha smanjuje, uzgon i otpor se povećavaju.";"Kako se gustina vazduha povećava, uzgon se povećava ali se otpor smanjuje.";"a";"Teorija letenja"
"53";"Kod dvokrakog rotora koji se okreće suprotno smeru kazaljke na satu, kada se posmatra odozgo, maksimalno povećanje napadnog ugla se dešava: (Slika PPL(H) TL – 7) 900";"Kada lopatica prolazi poziciju na levoj strani.";"Kada lopatica prolazi poziciju 900 na desnoj strani. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Teorija letenja";"Kada je lopatica u maksimalnom zadnjem položaju.";"Kada je lopatica u maksimalnom prednjem položaju.";"a";"Teorija letenja"
"54";"Lopatice rotora se povezuju sa glavčinom. Ugao lopatice u odnosu na ravan obrtanja se naziva: (Slika PPL(H) TL – 2)";"Postavni ugao.";"Napadni ugao lopatice.";"Ugao konusa.";"Napadni ugao rotora.";"a";"Teorija letenja"
"55";"Osa rotacije se podudara sa osom vratila:";"Pod idealnim uslovima uravnoteženog leta.";"Uvek.";"U progresivnom letu.";"U lebdenju, kada je helikopter okrenut u vetar.";"a";"Teorija letenja"
"56";"Vrh ravni obrtanja je imaginarna kružna putanja koju opisuju vrhovi lopatica rotora u toku ciklusa rotacije. Područje obuhvaćeno ovom putanjom je poznato kao:";"Disk rotora.";"Ugao konusa.";"Ravan obrtanja.";"Upravljačka ploča glavčine.";"a";"Teorija letenja"
"57";"Formula koja daje veličinu uzgona se izražava kroz gustinu vazduha, vektorsku brzinu relativnog vazdušnog strujanja, uzgonsku površinu aeroprofila i:";"Koeficijent uzgona.";"Napadni ugao.";"Postavni ugao.";"Opterećenje diska.";"a";"Teorija letenja"
"58";"Ugao lopatice se takoñe naziva:";"Postavni ugao.";"Ugao rezultujuće brzine.";"Napadni ugao.";"Ugao konusa.";"a";"Teorija letenja"
"59";"S obzirom na protok vazduha preko uzgonske površine lopatice rotora, ako je prisutno samo relativno strujanje vazduha, tada će ugao lopatice biti isti kao: (Slika PPL(H) TL -17)";"Napadni ugao.";"Ugao rezultujuće brzine.";"Ugao konusa.";"";"a";"Teorija letenja"
"60";"Ugao rezultujuće brzine je ugao izmeñu: (Slika PPL(H) TL – 3)";"Relativnog vazdušnog strujanja i kružnog vazdušnog strujanja.";"Relativnog vazdušnog strujanja i uzdužne tetive aeroprofila. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Teorija letenja";"Kružnog vazdušnog strujanja i uzdužne tetive aeroprofila.";"Uzdužne tetive aeroprofila i ose rotacije.";"a";"Teorija letenja"
"61";"Koja aerodinamička sila mora biti prisutna da bi se postigao progresivni let?";"Horizontalna komponenta vučne sile rotora.";"Uzgon.";"Vertikalna komponenta vučne sile rotora.";"Ukupna vučna sila rotora.";"a";"Teorija letenja"
"62";"Vučna sila rotora na vrhu lopatice se smanjuje uvijanjem, na takav način da se kod lopatica sa ugrañenim mehanizmom uvijanja: Postavni ugao smanjuje od korena ka vrhu.";"Postavni ugao smanjuje od vrha prema korenu.";"Vučna sila se povećava sa postavnim uglom na kraju.";"Napadni ugao se povećava sa postavnim uglom na kraju.";"";"a";"Teorija letenja"
"63";"Kako se helikopter kreće napred u progresivnom letu, relativno strujanje vazduha se kreće preko svake lopatice rotora, postajući kombinacija kružne brzine lopatice rotora i kretanja helikoptera. Relativno strujanje vazduha je maksimalno:(Slika PPL(H) TL- 17)";"U položaju 900 nadolazeće lopatice.";"U položaju 900 odlazeće lopatice.";"U krajnjem zadnjem položaju lopatice.";"U krajnjem prednjem položaju lopatice.";"a";"Teorija letenja"
"64";"Pomeranje palice cikličnog koraka će menjati:";"Ugao nagiba rotora diska.";"Postavni ugao svih lopatica rotora zajedno i u istom pravcu.";"Postavni ugao samo odlazeće lopatice.";"Samo ugao lopatice u njenom maksimalnom prednjem položaju.";"a";"Teorija letenja"
"65";"Kod trokrakog rotora, ako jedna lopatica prolazi kroz položaj minimalnog postavnog ugla, druge dve će biti: (Slika PPL(H) TL – 12)";"U procesu naizmeničnog povećanja i smanjenja postavnog ugla.";"U položaju maksimalnog postavnog ugla.";"Takoñe u položaju minimalnog postavnog ugla.";"";"a";"Teorija letenja"
"66";"Nadolazeća lopatica je:";"Lopatica koja se kreće napred u odnosu na relativni protoka vazduha.";"Lopatica koja se kreće u suprotnom sektoru u odnosu na relativni protok vazduha.";"Lopatica koja proizvodi povećani uzgon.";"Lopatica koja maše na dole smanjenjujući napadni ugao.";"a";"Teorija letenja"
"67";"Položaj palice cikličnog koraka u progresivnom letu prouzrokuje:";"Smanjenje napadnog ugla na dolazećoj lopatici i povećanje napadnog ugla na odlazećoj lopatici. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Teorija letenja";"Povećanje napadnog ugla na dolazećoj lopatici i smanjenje napadnog ugla na odlazećoj lopatici.";"Smanjenje napadnog ugla na nadolazećoj i odlazećoj lopatici.";"Povećanje napadnog ugla na nadolazećoj i odlazećoj lopatici.";"a";"Teorija letenja"
"68";"Po definiciji, mahanje je: (Slika PPL(H) TL – 19)";"Znatno ugaono oscilovanje lopatica rotora oko horizontalnog šarnira.";"Znatno ugaono oscilovanje lopatica rotora oko vertikalnog šarnira.";"Ugaono oscilovanje lopatica rotora oko kardanskog prstena.";"Horizontalno kretanje lopatica rotora oko ose vratila.";"a";"Teorija letenja"
"69";"Izjednačavanje uzgona na dve polovine diska rotora se postiže:";"Kombinacijom smanjenja napadnog ugla na nadolazećoj lopatici i povećanjem napadnog ugla na odlazećoj lopatici u toku ciklusa mahanja.";"Povećanjem napadnog ugla na nadolazećoj lopatici.";"Smanjenjem napadnog ugla na odlazećoj lopatici.";"Naginjanjem diska rotora u potrebnom pravcu.";"a";"Teorija letenja"
"70";"Konusnost je savijanje lopatica naviše usled kombinovanog dejstva sila:";"Uzgona i centrifugalne sile.";"Uzgona i gravitacije.";"Otpora i centrifugalne sile.";"Gravitacije i otpora.";"a";"Teorija letenja"
"71";"Pilot može iz kabine da neutrališe efekat obrtnog momenta repnog rotora pomoću:";"Nožnih pedala.";"Ciklične palice.";"Kolektivne palice.";"Podešavanja snage motora.";"a";"Teorija letenja"
"72";"Efekat obrtnog momenta glavnog rotora se kompenzuje:";"Vučnom silom repnog rotora.";"Nožnim komandama.";"Kolektivnom palicom.";"Cikličnom palicom.";"a";"Teorija letenja"
"73";"Najvažniji faktori koji ograničavaju maksimalnu brzinu helikoptera su:";"Pojava odvajanja struje sa lopatica rotora i dostizanje nadzvučnih brzina strujanja na krajevima lopatica glavnog rotora.";"Težina i oblik helikoptera.";"Ograničeno pomeranje ciklične palice napred i promena nagiba diska rotora.";"Sila otpora i vučna sila repnog rotora.";"a";"Teorija letenja"
"74";"Da ne bi došlo do preturanja dvokrakog helikoptera u letu, uslov je da:";"Uzgon na desnom kraku bude jednak uzgonu na levom kraku.";"Napadni ugao na desnom kraku bude jednak napadnom uglu na levom kraku. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Teorija letenja";"Koeficijent uzgona bude isti na oba kraka.";"Brzina kretanja oba kraka bude ista.";"a";"Teorija letenja"
"75";"U toku jednog ciklusa obrtanja rotora dolazi do promene napadnog ugla i sile uzgona na lopatici rotora, što izaziva:";"Podizanje ili spuštanje.";"Samo njeno dizanje.";"Samo njeno spuštanje.";"Lopatica ostaje uvek u istoj ravni.";"a";"Teorija letenja"
"76";"Horizontalni stabilizator stvara momenat propinjanja pri stacionarnom letu i smanjuje tendenciju spuštanja nosa helikoptera pri velikim brzinama. Istovremeno, horizontalni stabilizator povećava:";"Uzdužnu stabilnost helikoptera.";"Poprečnu stabilnost helikoptera.";"Stabilnost oko vertikalne ose helikoptera.";"Efikasnost repnog rotora.";"a";"Teorija letenja"
